s_name,b_hour,county,address,rate,geo_loc,pic_url,gmaps_url,type,comm,area,create_time,update_time
古農莊文物館,星期一休息星期二09:00–12:0013:00–17:00星期三09:00–12:0013:00–17:00星期四09:00–12:0013:00–17:00星期五09:00–12:0013:00–17:00星期六09:00–12:0013:00–17:00星期日09:00–12:0013:00–17:00,台中市,台中市太平區光興路1266巷160號,4.3,"120.74236,24.11733",https://lh3.googleusercontent.com/p/AF1QipMioEFywddmsowYpaHo-ZJk49zgFGrG5YKKu73f=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJDTgBbt0iaTQRUOqlmqcT928,室內,693,太平區,2025-05-05 12:54:26,2025-05-05 12:54:26
張連昌薩克斯風,,台中市,台中市后里區公安路330之1號,4.5,"120.69459,24.31250",https://lh3.googleusercontent.com/p/AF1QipPcaeIHzdi0-ptkHUhZ1YpP1nWESuEoAPBz0qfC=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJuV1khxQQaTQRVCDBW0VWRD0,室內,2027,后里區,2025-05-05 12:54:26,2025-05-05 12:54:26
中正紀念館,星期一休息星期二08:00–12:0013:00–17:00星期三08:00–12:0013:00–17:00星期四08:00–12:0013:00–17:00星期五08:00–12:0013:00–17:00星期六08:00–12:0013:00–17:00星期日08:00–12:0013:00–17:00,台中市,台中市大甲區水源路190號,4.2,"120.62620,24.33990",https://lh3.googleusercontent.com/p/AF1QipPpLB6lGub19wrCgHWYnTyeB2RT9dW-RFZ-fKDZ=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJDXIS5_sRaTQRkOTmjR_hV-8,室內,154,大甲區,2025-05-05 12:54:26,2025-05-05 12:54:26
臺中市美術家資料館,星期一休息星期二09:00–17:30星期三09:00–17:30星期四09:00–17:30星期五09:00–17:30星期六09:00–17:30星期日09:00–17:30,台中市,台中市清水區忠貞路21號,5.0,"120.55791,24.27104",https://lh3.googleusercontent.com/p/AF1QipNCvdsWlaJqlBB8dQIvczHmcOF9He0RXOnXijZJ=w408-h272-k-no,https://www.google.com/maps/place/?q=place_id:ChIJPcnoN80VaTQRnIsAcL4TkLQ,室內,10,清水區,2025-05-05 12:54:26,2025-05-05 12:54:26
臺中國際機場,,台中市,台中市沙鹿區中航路一段168號,4.0,"120.62442,24.26206",https://lh3.googleusercontent.com/p/AF1QipN4jAy0UNLFwwsOtpHXez71EAU9_rSVrjbySB4O=w408-h544-k-no,https://www.google.com/maps/place/?q=place_id:ChIJcQOEX1MRaTQRJFCKXjMQZFg,戶外,3708,沙鹿區,2025-05-05 12:54:26,2025-05-05 12:54:26
六寶公園,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市大雅區月祥路,3.9,"120.62636,24.23781",https://lh3.googleusercontent.com/p/AF1QipP9Q-x-OCyHAmTjb94Yd3dqM4ZoJ_DMULYDmgET=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJIc78lZ4WaTQRetZERmbxh9s,戶外,341,大雅區,2025-05-05 12:54:26,2025-05-05 12:54:26
老虎城購物中心,星期一11:00–22:00星期二11:00–22:00星期三11:00–22:00星期四11:00–22:00星期五11:00–22:00星期六11:00–22:00星期日11:00–22:00,台中市,台中市西屯區河南路三段120號,4.1,"120.63812,24.16425",https://lh3.googleusercontent.com/p/AF1QipP81kuagjS8Wz4gcxnW3bcDa9z-9bi66ZP0gTon=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJHb0ONPI9aTQRA8iSP_buIEI,室內,13697,西屯區,2025-05-05 12:54:26,2025-05-05 12:54:26
咬人狗坑生態景觀步道,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市太平區東平路,4.1,"120.74447,24.13892",https://lh3.googleusercontent.com/p/AF1QipOpzEiorYqbzw1jQziy5u-4GibLIwevNsEpm0ZW=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ0a3kmpoiaTQRZiUd6G6aheE,戶外,933,太平區,2025-05-05 12:54:26,2025-05-05 12:54:26
東海藝術街商圈,星期一24 小時營業星期二24 小時營業星期三24 小時營業星期四24 小時營業星期五24 小時營業星期六24 小時營業星期日24 小時營業,台中市,台中市龍井區藝術街32號,3.8,"120.59442,24.18771",https://lh3.googleusercontent.com/p/AF1QipOMnzn5N51dhi0vZEVHUPxu2JDTB1yD-33yHWrF=w426-h240-k-no,https://www.google.com/maps/place/?q=place_id:ChIJbxz8CYwVaTQR7YDgBZXAVRE,戶外,3613,龍井區,2025-05-05 12:54:26,2025-05-05 12:54:26
擁葉生態農場,,台中市,台中市東勢區東崎路三段688巷168號,4.2,"120.86404,24.27143",https://lh3.googleusercontent.com/p/AF1QipNb9xmfeAhXXIi7JPecP91LUDnb1Ir47wlQgwPs=w408-h306-k-no,https://www.google.com/maps/place/?q=place_id:ChIJpYJL1BcdaTQRcq5CwuB5KC4,戶外,80,東勢區,2025-05-05 12:54:26,2025-05-05 12:54:26
