Name,Rate,Comm,Url,Address,Business_Time,geo_loc
老司G Tea&Coffee -冬山人氣咖啡廳|網美下午茶|必去咖啡廳|打卡美食|親子餐廳|熱門咖啡廳|必吃義大利麵|夏季火鍋|簡餐小火鍋,4.9,740,https://www.google.com.tw/maps/place/%E8%80%81%E5%8F%B8G+Tea%26Coffee+-%E5%86%AC%E5%B1%B1%E4%BA%BA%E6%B0%A3%E5%92%96%E5%95%A1%E5%BB%B3%7C%E7%B6%B2%E7%BE%8E%E4%B8%8B%E5%8D%88%E8%8C%B6%7C%E5%BF%85%E5%8E%BB%E5%92%96%E5%95%A1%E5%BB%B3%7C%E6%89%93%E5%8D%A1%E7%BE%8E%E9%A3%9F%7C%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3%7C%E7%86%B1%E9%96%80%E5%92%96%E5%95%A1%E5%BB%B3%7C%E5%BF%85%E5%90%83%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5%7C%E5%A4%8F%E5%AD%A3%E7%81%AB%E9%8D%8B%7C%E7%B0%A1%E9%A4%90%E5%B0%8F%E7%81%AB%E9%8D%8B/data=!4m7!3m6!1s0x3467e7cc34325ef7:0x25cc656ea222e675!8m2!3d24.6636562!4d121.7574989!16s%2Fg%2F11hz_tmhcd!19sChIJ914yNMznZzQRdeYiom5lzCU?authuser=0&hl=zh-TW&rclk=1,269宜蘭縣冬山鄉光明路344號,星期二、11:00 到 18:00; 星期三、11:00 到 18:00; 星期四、休息; 星期五、11:00 到 20:00; 星期六、11:00 到 20:00; 星期日、11:00 到 18:00; 星期一、休息. 隱藏本週營業時間,POINT(24.6636562 121.7574989)
Amaze兔子迷宮~礁溪浴場,4.4,"3,156",https://www.google.com.tw/maps/place/Amaze%E5%85%94%E5%AD%90%E8%BF%B7%E5%AE%AE~%E7%A4%81%E6%BA%AA%E6%B5%B4%E5%A0%B4/data=!4m7!3m6!1s0x3467fbb2e77276b3:0x12b14555f1c9d1fb!8m2!3d24.8213649!4d121.7533282!16s%2Fg%2F11fkn9fl0w!19sChIJs3Zy57L7ZzQR-9HJ8VVFsRI?authuser=0&hl=zh-TW&rclk=1,262宜蘭縣礁溪鄉林尾路42-9號,星期二、休息; 星期三、休息; 星期四、10:00 到 19:00; 星期五、10:00 到 19:00; 星期六、10:00 到 19:00; 星期日、10:00 到 19:00; 星期一、10:00 到 19:00. 隱藏本週營業時間,POINT(24.8213649 121.7533282)
珈琲煎焙所 喜代志,4.8,124,https://www.google.com.tw/maps/place/%E7%8F%88%E7%90%B2%E7%85%8E%E7%84%99%E6%89%80+%E5%96%9C%E4%BB%A3%E5%BF%97/data=!4m7!3m6!1s0x3467e59c434f63ad:0x21c3fae52e927e8f!8m2!3d24.6937099!4d121.7407534!16s%2Fg%2F11qgb8jvgq!19sChIJrWNPQ5zlZzQRj36SLuX6wyE?authuser=0&hl=zh-TW&rclk=1,266宜蘭縣三星鄉尾塹一路105號安農北路一段側,星期二、13:00 到 19:00; 星期三、13:00 到 19:00; 星期四、13:00 到 19:00; 星期五、13:00 到 19:00; 星期六、13:00 到 19:00; 星期日、13:00 到 19:00; 星期一、13:00 到 19:00. 隱藏本週營業時間,POINT(24.6937099 121.7407534)
海洋20M海景咖啡館,4.4,"1,003",https://www.google.com.tw/maps/place/%E6%B5%B7%E6%B4%8B20M%E6%B5%B7%E6%99%AF%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x3467e9db930070e1:0x53df3bf2665fd1c8!8m2!3d24.5790336!4d121.8724712!16s%2Fg%2F1tr79jyy!19sChIJ4XAAk9vpZzQRyNFfZvI731M?authuser=0&hl=zh-TW&rclk=1,,,POINT(24.5790336 121.8724712)
蘭陽溪口親子餐廳,4.7,"1,975",https://www.google.com.tw/maps/place/%E8%98%AD%E9%99%BD%E6%BA%AA%E5%8F%A3%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3467ef738a0e70d7:0xbf4309ad21363b53!8m2!3d24.7046032!4d121.8286077!16s%2Fg%2F11g6wd5y4h!19sChIJ13AOinPvZzQRUzs2Ia0JQ78?authuser=0&hl=zh-TW&rclk=1,268宜蘭縣五結鄉溪濱路一段133號,星期二、休息; 星期三、11:30 到 20:00; 星期四、11:30 到 20:00; 星期五、11:30 到 20:00; 星期六、11:00 到 20:00; 星期日、11:00 到 20:00; 星期一、11:30 到 20:00. 隱藏本週營業時間,POINT(24.7046032 121.8286077)
微笑海龜咖啡館,4.6,468,https://www.google.com.tw/maps/place/%E5%BE%AE%E7%AC%91%E6%B5%B7%E9%BE%9C%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x3467e6817deed37b:0x25539bdaa8644b6e!8m2!3d24.6805114!4d121.7602767!16s%2Fg%2F11cs17nn9g!19sChIJe9PufYHmZzQRbktkqNqbUyU?authuser=0&hl=zh-TW&rclk=1,,,POINT(24.6805114 121.7602767)
微赫茲水素水咖啡館,5.0,25,https://www.google.com.tw/maps/place/%E5%BE%AE%E8%B5%AB%E8%8C%B2%E6%B0%B4%E7%B4%A0%E6%B0%B4%E5%92%96%E5%95%A1%E9%A4%A8/data=!4m7!3m6!1s0x3467e7554041841b:0xbec30b03df81ee36!8m2!3d24.6670729!4d121.7495079!16s%2Fg%2F11q3n32yws!19sChIJG4RBQFXnZzQRNu6B3wMLw74?authuser=0&hl=zh-TW&rclk=1,269宜蘭縣冬山鄉永興路二段710號,星期二、11:06 到 18:28; 星期三、休息; 星期四、休息; 星期五、10:30 到 20:30; 星期六、11:00 到 18:30; 星期日、休息; 星期一、10:30 到 18:30. 隱藏本週營業時間,POINT(24.6670729 121.7495079)
鄧伯花廊咖啡,4.2,627,https://www.google.com.tw/maps/place/%E9%84%A7%E4%BC%AF%E8%8A%B1%E5%BB%8A%E5%92%96%E5%95%A1/data=!4m7!3m6!1s0x3467e3359f3d0f05:0x7cb07e2abb04881d!8m2!3d24.781313!4d121.695296!16s%2Fg%2F1ptx3w9zc!19sChIJBQ89nzXjZzQRHYgEuyp-sHw?authuser=0&hl=zh-TW&rclk=1,264宜蘭縣員山鄉坡城路69-20號,星期二、08:00 到 17:00; 星期三、休息; 星期四、08:00 到 17:00; 星期五、08:00 到 17:00; 星期六、08:00 到 17:00; 星期日、08:00 到 17:00; 星期一、08:00 到 17:00. 隱藏本週營業時間,POINT(24.781313 121.695296)
吉他好事鍋煮奶茶專門/熱巧克力專門,4.8,242,https://www.google.com.tw/maps/place/%E5%90%89%E4%BB%96%E5%A5%BD%E4%BA%8B%E9%8D%8B%E7%85%AE%E5%A5%B6%E8%8C%B6%E5%B0%88%E9%96%80%2F%E7%86%B1%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%B0%88%E9%96%80/data=!4m7!3m6!1s0x3467e67f09fc821b:0xde5e87bf46c37851!8m2!3d24.679881!4d121.768007!16s%2Fg%2F11c6f14sf9!19sChIJG4L8CX_mZzQRUXjDRr-HXt4?authuser=0&hl=zh-TW&rclk=1,265宜蘭縣羅東鎮林森路123號1樓,星期二、休息; 星期三、休息; 星期四、14:00 到 20:00; 星期五、14:00 到 20:00; 星期六、14:00 到 20:00; 星期日、14:00 到 20:00; 星期一、14:00 到 20:00. 隱藏本週營業時間,POINT(24.679881 121.768007)
書啡（自家烘焙·手作咖啡）(無販售單杯),4.9,83,https://www.google.com.tw/maps/place/%E6%9B%B8%E5%95%A1%EF%BC%88%E8%87%AA%E5%AE%B6%E7%83%98%E7%84%99%C2%B7%E6%89%8B%E4%BD%9C%E5%92%96%E5%95%A1%EF%BC%89%28%E7%84%A1%E8%B2%A9%E5%94%AE%E5%96%AE%E6%9D%AF%29/data=!4m7!3m6!1s0x3467e15326211519:0x7caac756436da618!8m2!3d24.6854457!4d121.7179107!16s%2Fg%2F11f_j2_1hn!19sChIJGRUhJlPhZzQRGKZtQ1bHqnw?authuser=0&hl=zh-TW&rclk=1,266宜蘭縣三星鄉五分路三段57號,星期二、14:00 到 17:00; 星期三、14:00 到 17:00; 星期四、14:00 到 17:00; 星期五、14:00 到 17:00; 星期六、14:00 到 17:00; 星期日、14:00 到 17:00; 星期一、14:00 到 17:00. 隱藏本週營業時間,POINT(24.6854457 121.7179107)
