id_open,name_open,region_open,town_open,add_open,place_id,f_name,rate,comm,types,address,lng,lat,business_status
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJXf-b9rOpQjQRfgGyblurKDA,綠豆薏仁東園店（小喬綠豆屋）,4.4,109,"['point_of_interest', 'establishment']",108台灣台北市萬華區東園街42號,121.4959971,25.0267526,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJF3kqU6mpQjQRLNWR2kKgl0Q,阿嬤的古早味綠豆湯,4.4,10,"['food', 'point_of_interest', 'store', 'establishment']",108台灣台北市萬華區廣州街247號,121.4974242,25.0368533,OPERATIONAL
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJ4W5CjcA1aDQRBrapk2S7ebs,薏荳屋,4.3,23,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區北門街92號,120.9658426,24.80691,CLOSED_PERMANENTLY
C3_376580000A_000049,薏荳屋養生飲品,新竹市,北區,新竹市北區北門街92號,ChIJRbuUj-6rQjQR_bSF0XsZ9yE,耘享濃豆乳,4.3,52,"['food', 'point_of_interest', 'establishment']",105台灣台北市松山區民生東路四段80巷1弄6號,121.5533085,25.0575185,CLOSED_TEMPORARILY
C3_376580000A_000050,苗楊冬瓜仙草絲,新竹市,北區,新竹市北區西安街62號,ChIJNbgEy0I1aDQRLMBgbkEmZhk,苗楊冬瓜仙草絲,2.7,40,"['point_of_interest', 'establishment']",300台灣新竹市北區中山路100號,120.9653137,24.8046113,OPERATIONAL
C3_376580000A_000051,本味木瓜牛奶,新竹市,東區,新竹市東區林森路104號,ChIJ8wBHHOs1aDQRl6_Htm3UhUA,本味木瓜牛奶專賣店,3.8,165,"['food', 'point_of_interest', 'establishment']",300台灣新竹市東區林森路104號,120.9664601,24.8005998,OPERATIONAL
C3_376580000A_000052,郭潤餅,新竹市,北區,新竹市北區中山路75號(城隍廟入口旁),ChIJJ1h0GsA1aDQRCctJEmXXc3Y,郭家元祖潤餅,3.5,1299,"['point_of_interest', 'food', 'store', 'establishment']",300台灣新竹市北區中山路75號,120.9657804,24.8045857,OPERATIONAL
C3_376580000A_000053,ㄍㄡㄍㄡ羹,新竹市,北區,新竹市北區中山路75號(城隍廟內),ChIJJ1h0GsA1aDQRMswjL-fFy5M,雅珍號ㄍㄜㄍㄜ羹,4.2,255,"['food', 'point_of_interest', 'store', 'establishment']",300台灣新竹市北區中山路75號,120.9655473,24.8045602,OPERATIONAL
C3_376580000A_000054,阿城號,新竹市,北區,新竹市北區中山路75號,ChIJJ1h0GsA1aDQRI9ycnqCOIQ4,阿城號米粉,2.9,607,"['point_of_interest', 'food', 'store', 'establishment']",300台灣新竹市北區中山路75號,120.9657894,24.8045314,OPERATIONAL
C3_376580000A_000055,王記蚵仔煎,新竹市,北區,新竹市北區中山路75號,ChIJXTIi5-k1aDQRWyLjNT0qxIs,王記蚵仔煎,4.1,653,"['point_of_interest', 'food', 'store', 'establishment']",300台灣新竹市北區中山路75號,120.965695,24.8041034,OPERATIONAL
C3_376580000A_000056,乾家肉粽粿粽大王(原成家肉粽),新竹市,北區,新竹市北區中山路97號,ChIJj8stYcA1aDQRd9wDSISJbe4,成家肉粽大王,3.8,245,"['store', 'food', 'point_of_interest', 'establishment']",300台灣新竹市東區西大路211號,120.9681265,24.7983609,OPERATIONAL
C3_376580000A_000056,乾家肉粽粿粽大王(原成家肉粽),新竹市,北區,新竹市北區中山路97號,ChIJSRhOAcA1aDQRjajpq7Tg2pY,乾家肉粽粿粽大王,3.8,279,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區中山路97號,120.9649851,24.8041854,OPERATIONAL
C3_376580000A_000057,鄭家魚丸燕丸,新竹市,北區,新竹市北區中山路75號,ChIJJ1h0GsA1aDQR0EOM-WRsJV4,鄭家魚丸燕圓,3.8,210,"['point_of_interest', 'store', 'food', 'establishment']",300台灣新竹市北區中山路75號,120.9657073,24.8046078,OPERATIONAL
C3_376580000A_000059,淵明水蒸蛋糕,新竹市,北區,新竹市北區中山路112號,ChIJVyNwBsA1aDQRBK9qe_VrR_c,淵明餅舖,4.1,780,"['bakery', 'point_of_interest', 'food', 'store', 'establishment']",300台灣新竹市北區中山路112號,120.965119,24.8045169,OPERATIONAL
C3_376580000A_000060,葉家大粒粉圓,新竹市,北區,新竹市北區北門街83號,ChIJl-DXjsA1aDQRB4mh-RhcZnw,葉記大粒粉圓-新竹市,4.1,1463,"['restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市北區城北街46號,120.9643375,24.8096398,OPERATIONAL
C3_376580000A_000061,南寮漁港直銷中心,新竹市,北區,新竹市北區新港三路1-9號,ChIJdT7Qui01aDQRZEGUoSAbU3A,南寮漁港直銷中心,3.9,22,"['tourist_attraction', 'point_of_interest', 'establishment']",300台灣新竹市北區新港三路1-9號1號樓B區14,120.924742,24.847895,OPERATIONAL
C3_376580000A_000062,英明林家肉圓,新竹市,北區,竹市北區中山路75號,ChIJJ1h0GsA1aDQRN7WMwUlg_h8,新竹城隍廟林家肉圓,3.7,747,"['point_of_interest', 'food', 'store', 'establishment']",300台灣新竹市北區中山路75號,120.9658153,24.8045775,OPERATIONAL
C3_376580000A_000063,雙星甜不辣,新竹市,東區,新竹市東區大同路42號,ChIJW8yB7sE1aDQRRfM3QAJUgiE,雙星甜不辣,3.7,2069,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']",300台灣新竹市東區大同路42號,120.9694204,24.8038739,OPERATIONAL
