ev_name,county,address,geo_loc,pic_url,accu_url,s_time,e_time
繪出內在樂音工作坊,台北市,台北市大安區溫州街16巷4-1號1樓,POINT(25.0251118 121.5331201),https://static.accupass.com/eventbanner/2501200829581001564324_P520x260.jpg,https://www.accupass.com/event/2405040929101463015861?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-15 09:00:00,2025-06-15 12:00:00
成大外文2025畢業公演 【尋球 The Planet Seeker】,台南市,台南市大學路1號,POINT(22.9972643 120.2199945),https://static.accupass.com/eventbanner/2503140529258843421920_P520x260.jpg,https://www.accupass.com/event/2502281209471239538725?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-28 17:30:00,2025-05-28 21:40:00
【記憶有限】藍染工藝體驗 -方巾/漁夫帽/玩偶 3月～5月場次,台中市,台中市西區美村路一段783號,POINT(24.1328211 120.6618334),https://static.accupass.com/eventbanner/2502080522461399089950_P520x260.jpg,https://www.accupass.com/event/2502271119161605573210?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-03-14 13:00:00,2025-06-02 19:30:00
8%ice 藝術中心《一日速成 鋼琴體驗課》,台北市,台北市中山區民權東路一段76號6樓,POINT(25.0624335 121.5254133),https://static.accupass.com/eventbanner/2504161018241924729510_P520x260.jpg,https://www.accupass.com/event/2504160113561067621796?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-04 14:30:00,2025-05-04 16:00:00
【臺大BIM研究中心暑期高中職研習營】有BIM的世界長怎樣,台北市,台北市大安區辛亥路三段200號,POINT(25.0178393 121.5475854),https://static.accupass.com/eventbanner/2504140800111138645462_P520x260.jpg,https://www.accupass.com/event/2503310547504307690990?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-07-02 08:30:00,2025-07-04 17:00:00
2025 新竹實體交友單身活動,新竹市,新竹市竹北高鐵站,POINT(24.8081784 121.0404081),https://static.accupass.com/eventbanner/2503070213481261366710_P520x260.jpg,https://www.accupass.com/event/2501270352331501655080?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-01-27 00:00:00,2025-12-31 00:00:00
愛手創日本手作祭 第七回 百職日行 // 日本職人手作課程 - 迷你配件! 使用皮革及絲帶製作超可愛的微縮高跟鞋和包包,台北市,台北市中正區八德路一段1號,POINT(25.0444197 121.5299214),https://static.accupass.com/eventbanner/2504070303381123947992_P520x260.jpg,https://www.accupass.com/event/2504020404471503918410?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-06-13 10:30:00,2025-06-15 19:00:00
【台中無限心life-五月場次】下班隨手作 ‖ 手作課程-微景觀多肉暈染石盆,台中市,台中市北區華富街65號2樓『無限心Life』,POINT(24.160796 120.6664566),https://static.accupass.com/eventbanner/2502120823102114432777_P520x260.jpg,https://www.accupass.com/event/2502120704001363253728?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-04 13:30:00,2025-05-04 15:30:00
arTvalue｜藝術品的來源研究與歸屬,,大安區復興南路二段268號10樓,POINT(25.0246765 121.5432072),https://static.accupass.com/eventbanner/2504160315471463479708_P520x260.jpg,https://www.accupass.com/event/2504141203201007354554?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-07-11 09:30:00,2025-07-25 16:30:00
《行者十步》蔡明亮導演見面會,台北市,台北市內湖區堤頂大道二段99號,POINT(25.0768435 121.5713391),https://static.accupass.com/eventbanner/2504181106113982909600_P520x260.jpg,https://www.accupass.com/event/2504181109391326536811?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-05-20 19:30:00,2025-05-20 20:30:00
2025新北國際街舞大賽,新北市,新北市板橋區中正路8號,POINT(25.013213 121.4567738),https://static.accupass.com/eventbanner/2504070358062075757937_P520x260.jpg,https://www.accupass.com/event/2504070402421384863438?utm_source=web&utm_medium=search_result_&utm_campaign=accu_e_,2025-08-02 09:00:00,2025-08-03 20:00:00
